recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3600059,"Brief von Victor Frederick Weisskopf von Eidgenössische Technische Hochschule Zürich. Physikalisches Institut an Werner Heisenberg, 01.05.1934",1934-05-01,"Weisskopf, Victor Frederick (1908-2002) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut","Heisenberg, Werner (1901-1976)","Fermi, Enrico (1901-1954)",Brief
DE-611-HS-3600077,"Brief von Victor Frederick Weisskopf von Eidgenössische Technische Hochschule Zürich. Physikalisches Institut an Werner Heisenberg, 03.05.1934",1934-05-03,"Weisskopf, Victor Frederick (1908-2002) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut","Heisenberg, Werner (1901-1976)","Dirac, P. A. M. (1902-1984)",Brief
DE-611-HS-3600086,"Brief von Victor Frederick Weisskopf an Werner Heisenberg, 16.05.1934",1934-05-16,"Weisskopf, Victor Frederick (1908-2002)","Heisenberg, Werner (1901-1976)","Dirac, P. A. M. (1902-1984)",Brief
DE-611-HS-3600123,"Brief von Victor Frederick Weisskopf und Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Physikalisches Institut an Werner Heisenberg, 21.09.1934",1934-09-21,"Weisskopf, Victor Frederick (1908-2002) /Pauli, Wolfgang (1900-1958) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut","Heisenberg, Werner (1901-1976)","Waller, Ivar (1898-1991)",Brief
DE-611-HS-3600144,"Brief von Victor Frederick Weisskopf von Eidgenössische Technische Hochschule Zürich. Physikalisches Institut an Werner Heisenberg, 13.10.1934",1934-10-13,"Weisskopf, Victor Frederick (1908-2002) /Eidgenössische Technische Hochschule Zürich. Physikalisches Institut","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3600396,"Brief von Victor Frederick Weisskopf an J. Robert Oppenheimer, 09.02.1935",1935-02-09,"Weisskopf, Victor Frederick (1908-2002)","Oppenheimer, J. Robert (1904-1967)","Nedelsky, Leo (1903-2006)",Brief
DE-611-HS-3493963,"Brief von Otto Wolfgang Bechtle von Bechtle-Verlag (Esslingen) an Werner Heisenberg, 23.11.1923",1923-11-23,"Bechtle, Otto Wolfgang (1918-2012) /Bechtle-Verlag (Esslingen) (1868-)","Heisenberg, Werner (1901-1976)","Einstein, Albert (1879-1955)/ Clark, Ronald W. (1916-1987)/ Niebling, Georg",Brief
DE-611-HS-3619731,"Brief von Frank Matossi an Karl Wirtz, 14.10.1935",1935-10-14,"Matossi, Frank (1902-1968)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3619735,"Brief von Karl Wirtz an Frank Matossi, 15.10.1935",1935-10-15,"Wirtz, Karl (1910-1994)","Matossi, Frank (1902-1968)",,Brief
DE-611-HS-3621011,"Brief von Karl Wirtz an Markkleeberg, 01.10.1935",1935-10-01,"Wirtz, Karl (1910-1994)",Markkleeberg,,Brief
DE-611-HS-3623113,"Brief von Karl Wirtz an Verlag von Julius Springer, 13.12.1935",1935-12-13,"Wirtz, Karl (1910-1994)",Verlag von Julius Springer (1842-1941),,Brief
DE-611-HS-3623130,"Brief von Karl Wirtz an ... Matthée, 13.12.1935",1935-12-13,"Wirtz, Karl (1910-1994)","Matthée,...",,Brief
DE-611-HS-3623132,"Brief von Verlag von Julius Springer an Karl Wirtz, 12.12.1935",1935-12-12,Verlag von Julius Springer (1842-1941),"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3623140,"Brief von Karl Wirtz an ... Matthée an Zeitschrift für den physikalisch-chemischen Unterricht (Zeitschrift), 25.11.1935",1935-11-25,"Wirtz, Karl (1910-1994)","Matthée,.../ Zeitschrift für den physikalisch-chemischen Unterricht (Zeitschrift)",,Brief
DE-611-HS-3623146,"Brief von Karl Wirtz an Clemens Schaefer, 14.12.1935",1935-12-14,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968)",,Brief
DE-611-HS-3623166,"Brief von Karl Wirtz an Clemens Schaefer, 14.12.1935",1935-12-14,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968)",,Brief
DE-611-HS-3623188,"Brief von ... Matthée von Die Naturwissenschaften (Zeitschrift) an Karl Wirtz, 17.10.1935",1935-10-17,"Matthée,... /Die Naturwissenschaften (Zeitschrift) (1913-1992)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3623193,"Brief von Karl Wirtz an ... Matthée an Zeitschrift für den physikalisch-chemischen Unterricht (Zeitschrift), 22.11.1935",1935-11-22,"Wirtz, Karl (1910-1994)","Matthée,.../ Zeitschrift für den physikalisch-chemischen Unterricht (Zeitschrift)",,Brief
DE-611-HS-3623219,"Brief von Edgar Fajans an Karl Wirtz, 05.07.1935",1935-07-05,"Fajans, Edgar","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3623230,"Brief von ... Matthée von Staatliche Hauptstelle für den Naturwissenschaftlichen Unterricht (Berlin) an Karl Wirtz, 05.11.1935",1935-11-05,"Matthée,... /Staatliche Hauptstelle für den Naturwissenschaftlichen Unterricht (Berlin)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3623233,"Brief von Wilhelm Foerst von Zeitschrift für angewandte Chemie an Karl Wirtz an Physikalisch-Chemisches Institut (Leipzig), 06.05.1935",1935-05-06,"Foerst, Wilhelm (1898-) /Zeitschrift für angewandte Chemie","Wirtz, Karl (1910-1994)/ Physikalisch-Chemisches Institut (Leipzig)",,Brief
DE-611-HS-3623247,"Brief von Deutscher Amateur-Sende- und Empfangs-Dienst an Karl Wirtz, 15.10.1935",1935-10-15,Deutscher Amateur-Sende- und Empfangs-Dienst,"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3623276,"Brief von Sachsen. Ministerium für Volksbildung an Physikalisch-Chemisches Institut (Leipzig), 13.06.1935",1935-06-13,Sachsen. Ministerium für Volksbildung (1923-1951),Physikalisch-Chemisches Institut (Leipzig),,Brief
DE-611-HS-3623278,"Brief von Wilhelm Foerst von Zeitschrift für angewandte Chemie an Karl Wirtz an Physikalisch-Chemisches Institut (Leipzig), 18.04.1935",1935-04-18,"Foerst, Wilhelm (1898-) /Zeitschrift für angewandte Chemie","Wirtz, Karl (1910-1994)/ Physikalisch-Chemisches Institut (Leipzig)",,Brief
DE-611-HS-3623283,"Brief von Wilhelm Foerst von Zeitschrift für angewandte Chemie an Karl F. Bonhoeffer an Physikalisch-Chemisches Institut (Leipzig), 25.02.1935",1935-02-25,"Foerst, Wilhelm (1898-) /Zeitschrift für angewandte Chemie","Bonhoeffer, Karl F. (1899-1957)/ Physikalisch-Chemisches Institut (Leipzig)",,Brief
DE-611-HS-3623290,"Brief von Karl Wirtz an Verlag Chemie (Leipzig; Berlin), 30.06.1935",1935-06-30,"Wirtz, Karl (1910-1994)",Verlag Chemie (Leipzig; Berlin),,Brief
DE-611-HS-3623292,"Brief von Karl Wirtz an Zeitschrift für angewandte Chemie, 02.03.1935",1935-03-02,"Wirtz, Karl (1910-1994)",Zeitschrift für angewandte Chemie,,Brief
DE-611-HS-3623295,"Brief von Karl Wirtz an Clemens Schaefer, 07.04.1935",1935-04-07,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968)",,Brief
DE-611-HS-3623320,"Brief von Karl Wirtz an Carl Wirtz, 06.04.1935",1935-04-06,"Wirtz, Karl (1910-1994)","Wirtz, Carl",,Brief
DE-611-HS-3623589,"Brief von Karl Wirtz an Marianus Czerny, 21.11.1934",1934-11-21,"Wirtz, Karl (1910-1994)","Czerny, Marianus (1896-1985)",,Brief
DE-611-HS-3623599,"Brief von Karl Wirtz an Frank Matossi, 04.11.1934",1934-11-04,"Wirtz, Karl (1910-1994)","Matossi, Frank (1902-1968)",,Brief
DE-611-HS-3623690,"Brief von Karl Wirtz an Unbekannt, 03.11.1934",1934-11-03,"Wirtz, Karl (1910-1994)",Unbekannt,,Brief
DE-611-HS-3623719,"Brief von Unbekannt an Karl Wirtz, 31.10.1934",1934-10-31,Unbekannt,"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3623759,"Brief von Unbekannt an Karl Wirtz, 10.08.1934",1934-08-10,Unbekannt,"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3623821,"Brief von Frank Matossi an Karl Wirtz, 30.12.1933",1933-12-30,"Matossi, Frank (1902-1968)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624074,"Brief von Franz Schmidt + Haensch GmbH & Co. (Berlin) an Unbekannt, 13.12.1934",1934-12-13,Franz Schmidt + Haensch GmbH & Co. (Berlin),Unbekannt,,Brief
DE-611-HS-3624092,"Brief von Karl Wirtz an Unbekannt, 19.02.1935",1935-02-19,"Wirtz, Karl (1910-1994)",Unbekannt,,Brief
DE-611-HS-3624191,"Brief von Ottilie Matossi-Riechemeier an Karl Wirtz, 02.05.1934",1934-05-02,"Matossi-Riechemeier, Ottilie","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624213,"Brief von Ottilie Matossi-Riechemeier an Karl Wirtz, 22.04.1934",1934-04-22,"Matossi-Riechemeier, Ottilie","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624224,"Brief von Ludwig Bergmann an Karl Wirtz, 17.06.1934",1934-06-17,"Bergmann, Ludwig (1898-1959)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624257,"Brief von Frank Matossi an Karl Wirtz, 11.06.1934",1934-06-11,"Matossi, Frank (1902-1968)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624278,"Brief von Notgemeinschaft der Deutschen Wissenschaft an Karl Wirtz, 20.12.1934",1934-12-20,Notgemeinschaft der Deutschen Wissenschaft (1920-1951),"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624282,"Brief von Karl Wirtz an Clemens Schaefer, 05.03.1935",1935-03-05,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968) [vermutlich]","Eucken, Arnold (1884-1950)/ Wolf, Karl Lothar (1901-1969)",Brief
DE-611-HS-3624366,"Brief von Karl Wirtz an Deutsche Dozentenschaft, 05.02.1935",1935-02-05,"Wirtz, Karl (1910-1994)",Deutsche Dozentenschaft,,Brief
DE-611-HS-3624376,"Brief von Karl Wirtz von Physikalisch-Chemisches Institut (Leipzig) an Nationalsozialistisches Kraftfahr-Korps, 05.01.1935",1935-01-05,"Wirtz, Karl (1910-1994) /Physikalisch-Chemisches Institut (Leipzig)",Nationalsozialistisches Kraftfahr-Korps (1931-1945),,Brief
DE-611-HS-3624400,"Brief von Karl Wirtz an Deutsche Dozentenschaft, 20.12.1934",1934-12-20,"Wirtz, Karl (1910-1994)",Deutsche Dozentenschaft,,Brief
DE-611-HS-3624405,"Brief von Karl Wirtz an Karl F. Bonhoeffer, 19.12.1934",1934-12-19,"Wirtz, Karl (1910-1994)","Bonhoeffer, Karl F. (1899-1957)",,Brief
DE-611-HS-3624451,"Brief von Karl Wirtz an Clemens Schaefer, 19.12.1934",1934-12-19,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968) [vermutlich]",,Brief
